# ip2region 示例数据文件
# 格式: start_ip|end_ip|国家|区域|省份|城市|ISP
1.0.0.0|1.0.0.255|澳大利亚|0|0|0|0
1.0.1.0|1.0.3.255|中国|0|福建省|福州市|电信
1.0.4.0|1.0.7.255|澳大利亚|0|0|0|0
1.0.8.0|1.0.15.255|中国|华南|广东省|广州市|电信
1.0.16.0|1.0.31.255|日本|0|0|0|0
1.0.32.0|1.0.63.255|中国|0|福建省|福州市|电信
1.0.64.0|1.0.127.255|日本|0|0|0|0
1.0.128.0|1.0.255.255|泰国|0|0|0|0
14.0.0.0|14.0.255.255|中国|华北|北京市|北京市|电信
14.1.0.0|14.127.255.255|中国|华北|北京市|北京市|电信
14.128.0.0|14.191.255.255|中国|华北|北京市|北京市|联通
27.0.0.0|27.15.255.255|中国|华北|北京市|北京市|联通
27.16.0.0|27.31.255.255|中国|华北|北京市|北京市|电信
36.0.0.0|36.15.255.255|中国|华东|上海市|上海市|电信
36.16.0.0|36.31.255.255|中国|华东|上海市|上海市|联通
58.0.0.0|58.63.255.255|中国|华南|广东省|广州市|电信
58.64.0.0|58.127.255.255|中国|华南|广东省|广州市|联通
110.0.0.0|110.63.255.255|中国|华中|湖北省|武汉市|电信
110.64.0.0|110.127.255.255|中国|华中|湖北省|武汉市|联通
8.8.8.8|8.8.8.8|美国|0|0|0|Google
114.114.114.114|114.114.114.114|中国|0|江苏省|南京市|114DNS
